trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'e': 0.7213823574366063, 'a': 1}",20,9,-11.1062734777198,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
154,False,"{'e': 0.7179106696109434, 'a': 1}",20,0,-105.00896025951927,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
155,False,"{'e': 0.7144210340559313, 'a': 1}",30,9,-69.3045649080377,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 0}",1
156,False,"{'e': 0.7109135380122773, 'a': 1}",20,0,-91.0147028051276,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
157,False,"{'e': 0.7073882691671998, 'a': 1}",30,0,-97.80968215852202,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
158,False,"{'e': 0.7038453156522361, 'a': 1}",20,4,-28.920804127932282,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
159,False,"{'e': 0.7002847660410396, 'a': 1}",20,0,-15.792959371743422,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
160,False,"{'e': 0.6967067093471654, 'a': 1}",25,0,-33.02343956218638,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
161,False,"{'e': 0.6931112350218442, 'a': 1}",20,0,-85.46545959666089,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
162,False,"{'e': 0.689498432951747, 'a': 1}",20,0,-140.6913268965716,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
163,False,"{'e': 0.6858683934567373, 'a': 1}",25,0,-70.60157551938171,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
164,False,"{'e': 0.6822212072876135, 'a': 1}",25,6,-103.69259709383589,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 1}",1
165,False,"{'e': 0.6785569656238398, 'a': 1}",20,0,-140.87376152689504,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
166,False,"{'e': 0.674875760071267, 'a': 1}",25,0,-33.55690107092877,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
167,False,"{'e': 0.6711776826598423, 'a': 1}",25,0,-58.278903577459296,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
168,False,"{'e': 0.6674628258413081, 'a': 1}",35,17,-83.73862743289385,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
169,False,"{'e': 0.6637312824868916, 'a': 1}",25,9,3.949902836420919,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'e': 0.6599831458849822, 'a': 1}",20,0,-84.27720661399577,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
171,False,"{'e': 0.6562185097387998, 'a': 1}",20,0,-7.759397613972325,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
172,False,"{'e': 0.6524374681640519, 'a': 1}",25,14,-40.2687923703952,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
173,False,"{'e': 0.648640115686581, 'a': 1}",30,0,-104.24025684477375,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
174,False,"{'e': 0.6448265472400012, 'a': 1}",20,0,-58.20946958400265,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
175,False,"{'e': 0.6409968581633251, 'a': 1}",25,0,-197.14519826128623,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
176,False,"{'e': 0.6371511441985802, 'a': 1}",20,0,-57.901016993660306,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
177,False,"{'e': 0.6332895014884152, 'a': 1}",25,0,-145.195721977735,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
178,False,"{'e': 0.6294120265736969, 'a': 1}",25,0,-102.80797913649248,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
179,False,"{'e': 0.625518816391096, 'a': 1}",30,1,-46.65799510174387,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
180,False,"{'e': 0.6216099682706644, 'a': 1}",25,0,-107.69467642838865,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
181,False,"{'e': 0.6176855799334016, 'a': 1}",25,0,-47.15842254419148,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
182,False,"{'e': 0.6137457494888116, 'a': 1}",25,0,-70.06868160403515,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
183,False,"{'e': 0.6097905754324501, 'a': 1}",20,0,-42.326789668810434,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
184,False,"{'e': 0.6058201566434628, 'a': 1}",25,0,-51.50711915690785,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
185,False,"{'e': 0.6018345923821126, 'a': 1}",20,0,-17.594225687482954,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
186,False,"{'e': 0.5978339822872982, 'a': 1}",25,8,-66.26458209504125,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
187,False,"{'e': 0.5938184263740639, 'a': 1}",20,14,10.60136095530527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
